date,division,net_income,depreciation_add_back,change_in_ar,change_in_ap,change_in_inventory,other_operating,operating_cash_flow,capex,acquisitions,investing_cash_flow,debt_issuance,debt_repayment,dividends,financing_cash_flow,net_cash_flow
05/31/2023,div_a,853807.22,242949.8,926704.05,706897.32,43949.29,-6857.08,826143.92,-393177.32,0.0,-393177.32,0.0,-166666.67,0.0,-166666.67,266299.93
04/30/2024,Cloud Infrastructure,600080.96,274715.71,293796.37,211713.73,84542.6,8144.13,716315.56,-841962.68,0.0,-841962.68,0.0,-83333.33,0.0,-83333.33,-208980.45
07/31/2024,div_a,896504.33,252986.51,-4563699.09,-66722.86,-5554.98,-29041.37,5622980.68,-429453.88,-3737658.71,-4167112.59,0.0,-166666.67,0.0,-166666.67,1289201.42
01/31/2023,Division A,1041082.61,215609.95,0.0,0.0,0.0,4323.74,1261016.3,-336288.27,0.0,-336288.27,0.0,-166666.67,0.0,-166666.67,758061.36
05/31/2023,div_b,645784.09,96058.02,278956.2,340017.27,0.0,9149.2,812052.38,-150154.08,0.0,-150154.08,0.0,-83333.33,,-83333.33,578564.97
11/30/2023,Div A,942930.08,242968.55,-693119.28,466915.33,22731.25,-5524.48,2317677.51,-415772.37,0.0,-415772.37,0.0,-166666.67,,-166666.67,1735238.47
11/30/2023,Div A,942930.08,242968.55,-693119.28,466915.33,22731.25,-5524.48,2317677.51,-415772.37,0.0,-415772.37,0.0,-166666.67,,-166666.67,1735238.47
11/30/2023,Professional Services,901123.66,114011.13,215896.67,267690.32,0.0,1023.47,1067951.91,-174933.05,0.0,-174933.05,0.0,-83333.33,0.0,-83333.33,809685.53
01/31/2024,Division A,1190233.46,223610.62,-4173721.01,-1380252.53,-95855.39,7376.29,4310544.24,-373562.17,0.0,-373562.17,0.0,-166666.67,0.0,-166666.67,3770315.4
08/31/2023,Cloud Infrastructure,781599.72,276241.88,99511.76,-345938.66,-114848.96,16414.27,743654.41,-794329.15,,-794329.15,0.0,-83333.33,0.0,-83333.33,-134008.07
06/30/2024,Cloud Infrastructure,437576.23,267941.53,-659545.32,-470577.39,-151718.53,-14463.5,1031740.72,-737274.7,0.0,-737274.7,0.0,-83333.33,-109394.06,-192727.39,101738.63
08/31/2023,Division B,836514.6,112433.13,337966.77,153998.54,0.0,4724.94,769704.44,-177994.77,0.0,-177994.77,0.0,-83333.33,0.0,-83333.33,508376.34
10/31/2023,div_a,1344800.33,257310.95,996671.57,-235025.44,-16118.33,,375555.75,-423627.24,,-423627.24,0.0,-166666.67,0.0,-166666.67,-214738.16
10/31/2024,Division B,517169.91,110144.98,-602772.35,-546072.19,-0.0,581.2,684596.25,-164009.88,0.0,-164009.88,0.0,-83333.33,,-83333.33,437253.04
06/30/2023,Div A,1032128.05,242092.17,211506.38,-348380.85,-25442.36,34697.83,774473.18,-396806.01,0.0,-396806.01,0.0,-166666.67,-258032.01,-424698.68,-47031.51
11/30/2024,div_a,1550999.23,272985.61,-418339.45,-573877.48,-37258.4,-27469.35,1678235.86,-443200.45,0.0,-443200.45,0.0,-166666.67,,-166666.67,1068368.74
10/31/2023,div_c,420424.07,283606.06,-615067.08,-381180.48,-103534.3,,1035103.1,-816508.61,0.0,-816508.61,0.0,-83333.33,0.0,-83333.33,135261.16
03/31/2023,Div C,369134.8,231883.4,-92084.01,63658.26,11376.0,-1791.69,743592.78,-648670.56,0.0,-648670.56,0.0,-83333.33,-92283.7,-175617.03,-80694.81
10/31/2023,Professional Services,1044038.51,107250.34,153218.14,-162668.23,-0.0,7056.7,842459.18,-161289.8,0.0,-161289.8,0.0,-83333.33,0.0,-83333.33,597836.05
04/30/2024,div_b,1015508.09,136546.13,1780885.17,581540.85,0.0,,-43018.14,-215278.18,0.0,-215278.18,0.0,-83333.33,0.0,-83333.33,-341629.65
11/30/2024,Div C,688267.59,293556.18,-126014.34,56089.58,22311.61,-2927.85,1138688.23,-882212.97,0.0,-882212.97,0.0,-83333.33,0.0,-83333.33,173141.93
05/31/2024,Division A,1033660.74,244703.63,-1782499.69,-231370.62,-15488.97,-16167.29,2828815.12,-413399.43,,-413399.43,0.0,-166666.67,0.0,-166666.67,2248749.02
12/31/2023,Div B,923126.36,115852.17,174495.73,155023.53,0.0,-10194.69,1009311.64,-171229.5,0.0,-171229.5,,-83333.33,-230781.59,-314114.92,523967.22
09/30/2024,Professional Services,570715.7,118239.89,659542.84,747624.8,0.0,2722.64,779760.19,-171019.53,0.0,-171019.53,0.0,-83333.33,-142678.92,-226012.25,382728.41
02/29/2024,Division C,672906.67,264622.46,197761.62,-22618.84,-8069.44,-1346.89,723871.22,-765005.16,0.0,-765005.16,0.0,-83333.33,0.0,-83333.33,-124467.27
08/31/2023,div_a,1160391.7,231296.84,547924.93,-328899.25,-23649.11,-10399.7,528113.77,-395201.47,0.0,-395201.47,,-166666.67,0.0,-166666.67,-33754.37
09/30/2023,Cloud Infrastructure,739854.92,340700.86,801392.95,683192.9,237909.93,16518.02,740963.82,-958682.25,0.0,-958682.25,0.0,-83333.33,-184963.73,-268297.06,-486015.49
07/31/2024,Professional Services,599998.0,112267.61,-74510.01,483497.98,0.0,-4082.19,1266191.41,-169120.93,0.0,-169120.93,0.0,-83333.33,0.0,-83333.33,1013737.15
07/31/2023,Professional Services,850055.8,102776.9,-564877.31,-625510.13,-0.0,-1253.8,890946.08,-160789.96,0.0,-160789.96,0.0,-83333.33,0.0,-83333.33,646822.79
12/31/2024,Division B,857813.23,126103.77,286931.53,352045.52,0.0,5936.09,1054967.08,-169270.92,,-169270.92,0.0,-83333.33,-214453.31,-297786.64,587909.52
02/28/2023,Div C,582532.24,226493.18,184537.02,134449.93,44008.77,-2264.54,712665.02,-655404.36,0.0,-655404.36,0.0,-83333.33,,-83333.33,-26072.67
