date,division,revenue,cogs,gross_profit,gross_margin_pct,rd_expense,sga_expense,total_opex,ebitda,ebitda_margin_pct,depreciation,ebit,interest_expense,pretax_income
2023-05-31,Div A,7837963.39,2937904.98,4900058.41,62.52,1471263.57,1703327.87,3174591.44,1725466.97,22.01,233934.42,1491532.55,75190.47,1416342.08
2024-04-30,Cloud Infrastructure,4734816.66,2119877.99,2614938.67,55.23,710994.56,840204.62,1551199.18,1063739.49,22.47,285394.06,778345.43,58811.97,719533.46
2024-07-31,Enterprise Software,9273489.52,3684846.05,5588643.47,60.26,1671636.13,2007760.08,3679396.21,1909247.26,20.59,,1630395.26,92836.22,1537559.04
2023-01-31,Enterprise Software,6143084.86,2430365.04,3712719.82,60.44,1108582.48,1338656.82,2447239.3,1265480.52,20.6,184261.58,1081218.94,58810.69,1022408.25
2023-05-31,Div B,5259618.52,2635336.62,2624281.9,49.89,263822.42,1048179.75,1312002.17,1312279.73,24.95,105493.04,1206786.69,44824.58,1161962.11
2023-06-30,Professional Services,5248882.81,2755301.97,2493580.84,47.51,,1063279.52,1331530.44,1162050.4,22.14,106589.86,1055460.54,42375.77,1013084.77
2023-11-30,Division A,8956697.41,3318275.76,5638421.65,62.95,1600961.2,,3544103.07,2094318.58,23.38,271006.31,1823312.27,88710.25,1734602.02
2023-11-30,Division B,6052870.16,3145267.58,2907602.58,48.04,299712.89,1198673.86,1498386.75,1409215.83,23.28,122271.32,1286944.51,49725.82,1237218.69
2024-01-31,Enterprise Software,7085501.82,2679010.69,4406491.13,62.19,1291347.77,1544344.02,2835691.79,1570799.34,22.17,213536.0,1357263.34,68509.98,1288753.36
2023-08-31,Cloud Infrastructure,4492073.15,1882787.76,2609285.39,58.09,679388.65,847777.88,1527166.53,1082118.86,24.09,,818155.4,,765843.69
2024-06-30,div_c,5068830.17,2078999.24,2989830.93,58.98,754337.1,926654.66,1680991.76,1308839.17,25.82,303321.32,1005517.85,60468.48,945049.37
2023-08-31,Professional Services,5295101.01,2823795.55,2471305.46,46.67,260017.38,,1339476.46,1131829.0,21.38,105484.13,1026344.87,42349.96,983994.91
2023-10-31,Division A,8238823.71,3035023.31,5203800.4,63.16,,,3227406.18,1976394.22,23.99,247566.98,1728827.24,84803.13,1644024.11
2024-10-31,Professional Services,5695843.1,2880423.65,2815419.45,,286288.73,1155577.55,1441866.28,1373553.17,24.12,111929.48,1261623.69,47679.76,1213943.93
